eval_eplenmean,eval_qs_difference,eval_ep_rewmean,eval_time_elapsed,eval_qs,eval_discount_q,eval mean 100 episode reward,eval_abs_qs_difference,total timesteps,act_time,ep_rewmean,n_updates,qs_difference,train_time,eplenmean,fps,mean 100 episode reward,qs_abs_difference,current_lr,env_time,episodes,discount_q,qs_mean,time_elapsed,update_time,qfs_loss,q_grad_norm
,,,,,,,,344000,273,144.42953324,638200,2.8501940892979816,7035,1000.0,14,144.4,2.8501940892979816,0.0003,495,344,2.7649626136668213e-12,14.331463,23377,14583,0.0015665009,0.30292863
,,,,,,,,348000,276,144.40812670000003,646200,3.161637288149948,7122,1000.0,14,144.4,3.161637288149948,0.0003,500,348,2.4865710799360256e-12,14.477194,23670,14777,0.0011072457,0.25920653
1000.0,2.70510327163843,149.53736745454543,24,14.482489,32.08435908352392,146.5,2.7142558,350001,,,,,,,,,,,,,,,,,,
,,,,,,,,352000,279,144.47628549,654200,2.9004263426204973,7211,1000.0,14,144.5,2.9004263426204973,0.0003,506,352,2.5872553997275807e-12,14.571586,23991,14974,0.001319471,0.30595967
,,,,,,,,356000,283,144.59065979,662200,2.9984112296010337,7299,1000.0,14,144.6,2.9984112296010337,0.0003,512,356,2.597426539162532e-12,14.530807,24292,15175,0.0015508275,0.37520286
,,,,,,,,360000,286,143.49545538,670200,3.2507321776155824,7389,1000.0,14,143.5,3.2507321776155824,0.0003,518,360,2.5689845293234416e-12,14.614252,24595,15376,0.0017504087,0.42685854
1000.0,5.418792325040379,131.42620445454543,24,15.4265995,31.664776151555614,144.8,5.428849,360001,,,,,,,,,,,,,,,,,,
,,,,,,,,364000,290,143.50103576,678200,2.9712964073937007,7476,1000.0,14,143.5,2.9712964073937007,0.0003,524,364,2.5689598832312746e-12,14.532429,24916,15575,0.0015978849,0.31259117
,,,,,,,,368000,293,143.60496321,686200,3.693506920232485,7566,1000.0,14,143.6,3.693506920232485,0.0003,529,368,2.6728520306733974e-12,14.513636,25208,15766,0.0012210102,0.291222
1000.0,2.7974847060459584,148.89609945454544,23,14.402564,33.1770836591025,144.9,2.8043973,370001,,,,,,,,,,,,,,,,,,
,,,,,,,,372000,296,143.62737087999997,694200,2.9793482803772267,7653,1000.0,14,143.6,2.9793482803772267,0.0003,535,372,2.512769137381147e-12,14.4564,25517,15953,0.0012243607,0.2998291
,,,,,,,,376000,300,143.73263522,702200,2.913925412722535,7746,1000.0,14,143.7,2.913925412722535,0.0003,541,376,2.7650453137711637e-12,14.398008,25809,16141,0.0015822591,0.34203312
,,,,,,,,380000,303,143.8871481,710200,2.9330335549523174,7836,1000.0,14,143.9,2.9330335549523174,0.0003,547,380,2.6245117061029255e-12,14.397842,26106,16337,0.0010873955,0.27959856
1000.0,3.404317157396044,143.9421163636364,23,14.644647,31.8574129510656,144.6,3.409352,380001,,,,,,,,,,,,,,,,,,
,,,,,,,,384000,307,143.87212647,718200,3.4235214064102237,7924,1000.0,14,143.9,3.4235214064102237,0.0003,552,384,2.5842972691138097e-12,14.452568,26425,16533,0.0013197795,0.32442534
,,,,,,,,388000,310,143.96085639,726200,2.918270771462988,8011,1000.0,14,144.0,2.918270771462988,0.0003,558,388,2.6065627622276505e-12,14.300135,26720,16730,0.0011074684,0.2356726
1000.0,3.3429077125666726,142.35388527272727,22,14.294915,33.16547040845964,144.4,3.3497343,390001,,,,,,,,,,,,,,,,,,
,,,,,,,,392000,313,143.98647425000001,734200,2.922586907011125,8098,1000.0,14,144.0,2.922586907011125,0.0003,564,392,2.6651993491624595e-12,14.304773,27038,16927,0.001105963,0.25557235
,,,,,,,,396000,317,144.52985718,742200,3.0320131496219065,8185,1000.0,14,144.5,3.0320131496219065,0.0003,570,396,2.6686542767610812e-12,14.508821,27334,17124,0.0010403781,0.27355382
,,,,,,,,400000,320,144.59792729999998,750200,2.922699433333976,8278,1000.0,14,144.6,2.922699433333976,0.0003,576,400,2.5022330706081194e-12,14.446086,27633,17319,0.0010612503,0.28147337
1000.0,2.7687080357021143,148.41171627272726,23,14.369314,32.732991461259815,144.4,2.782928,400001,,,,,,,,,,,,,,,,,,
