total timesteps,eval_time_elapsed,eval_qs_difference,eval mean 100 episode reward,eval_abs_qs_difference,eval_qs,eval_ep_rewmean,eval_eplenmean,eval_discount_q,fps,qs_difference,update_time,act_time,train_time,time_elapsed,n_updates,env_time,ep_rewmean,eplenmean,episodes,current_lr,mean 100 episode reward,qs_abs_difference,discount_q,qs_mean,q_grad_norm,qfs_loss
370001,23,2.269179643350937,140.2,2.3023245,13.38173,143.80536654545458,1000.0,33.00995384427245,,,,,,,,,,,,,,,,,,
372000,,,,,,,,,14,2.3609866723448936,15578,293,7666,25131,694200,523,137.52134288,1000.0,372,0.0003,137.5,2.3609866723448936,2.7032396546032164e-12,13.175446,0.27782145,0.0010286031
376000,,,,,,,,,14,2.7521721027570965,15770,297,7755,25422,702200,529,137.6562778,1000.0,376,0.0003,137.7,2.7521721027570965,2.633929097403831e-12,13.138432,0.27087528,0.0010528228
380000,,,,,,,,,14,2.809165507202497,15962,300,7843,25714,710200,535,137.73262457,1000.0,380,0.0003,137.7,2.809165507202497,2.646163823744284e-12,13.193943,0.2726574,0.00094498286
380001,23,2.209839429901599,140.8,2.2407172,13.300705,143.64879127272727,1000.0,33.07085141749412,,,,,,,,,,,,,,,,,,
384000,,,,,,,,,14,2.3492809768836977,16150,303,7935,26029,718200,540,137.9507589,1000.0,384,0.0003,138.0,2.3492809768836977,2.6700343546290822e-12,13.174608,0.28687727,0.0010658734
388000,,,,,,,,,14,2.353718031395959,16348,307,8025,26328,726200,546,138.07621565999997,1000.0,388,0.0003,138.1,2.353718031395959,2.7048040025241766e-12,13.224291,0.3560645,0.0011702994
390001,24,2.250517860411064,141.5,2.2876682,13.378674,144.17566754545453,1000.0,33.2263804499193,,,,,,,,,,,,,,,,,,
392000,,,,,,,,,14,2.291367550841002,16540,310,8113,26644,734200,552,138.30836235,1000.0,392,0.0003,138.3,2.291367550841002,2.5851046635034757e-12,13.580559,0.27196145,0.0010233414
396000,,,,,,,,,14,2.3527881078723087,16739,314,8204,26944,742200,558,138.57589104000002,1000.0,396,0.0003,138.6,2.3527881078723087,2.5348763061695e-12,13.59003,0.3228121,0.0009888266
400000,,,,,,,,,14,2.3057000044473432,16935,317,8293,27240,750200,563,139.14159749,1000.0,400,0.0003,139.1,2.3057000044473432,2.675678533153632e-12,13.666813,0.2850187,0.0010167263
400001,23,2.2176609312088065,141.9,2.2569666,13.387592,145.22249345454546,1000.0,33.86179054255627,,,,,,,,,,,,,,,,,,
