eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_eplenmean,eval_qs_difference,eval_discount_q,eval_abs_qs_difference,eval_qs,eval mean 100 episode reward,act_time,discount_q,qs_difference,train_time,eplenmean,n_updates,ep_rewmean,mean 100 episode reward,env_time,time_elapsed,fps,update_time,current_lr,qs_mean,qs_abs_difference,episodes,q_grad_norm,qfs_loss
,,320000,,,,,,,250,2.6061204558976896e-12,3.832065356614422,6589,1000.0,590200,152.14873159,152.1,465,21431,14,13218,0.0003,15.160894,3.832065356614422,320,0.30555794,0.0011102327
159.7051029090909,22,320001,1000.0,2.7143295596209134,32.81849029486243,2.7282162,15.435809,157.6,,,,,,,,,,,,,,,,,,
,,324000,,,,,,,254,2.7542223842383603e-12,3.020097476449935,6679,1000.0,598200,152.01767940000002,152.0,471,21746,14,13411,0.0003,14.983533,3.020097476449935,324,0.372767,0.0014777492
,,328000,,,,,,,257,2.6091020515103577e-12,2.9929778159890046,6769,1000.0,606200,151.9735005,152.0,477,22051,14,13614,0.0003,15.21232,2.9929778159890046,328,0.32783836,0.0011405611
150.34599727272726,22,330001,1000.0,3.0699625595718882,32.98556781971946,3.0804513,14.83899,157.1,,,,,,,,,,,,,,,,,,
,,332000,,,,,,,260,2.645940775357135e-12,2.911815197972648,6860,1000.0,614200,152.01214866,152.0,483,22370,14,13809,0.0003,14.922274,2.911815197972648,332,0.28696424,0.0012316905
,,336000,,,,,,,263,2.6469207603489316e-12,3.091861168803771,6951,1000.0,622200,151.86790866,151.9,488,22674,14,14011,0.0003,15.438872,3.091861168803771,336,0.30766892,0.0012664224
,,340000,,,,,,,266,2.7933923105954653e-12,3.2253176158173154,7040,1000.0,630200,151.81394830000002,151.8,494,22975,14,14213,0.0003,14.846818,3.2253176158173154,340,0.3140125,0.0010709817
155.3136772727273,22,340001,1000.0,2.675308776601726,32.654963191177785,2.6853304,14.973835,156.7,,,,,,,,,,,,,,,,,,
,,344000,,,,,,,270,2.7865283222218037e-12,2.9633856116726176,7130,1000.0,638200,151.73219357000002,151.7,500,23294,14,14408,0.0003,14.59578,2.9633856116726176,344,0.35932532,0.0012665264
