eval_eplenmean,eval_qs_difference,eval_time_elapsed,eval mean 100 episode reward,eval_ep_rewmean,eval_discount_q,total timesteps,eval_qs,eval_abs_qs_difference,ep_rewmean,discount_q,env_time,update_time,episodes,current_lr,eplenmean,qs_difference,fps,qs_abs_difference,train_time,time_elapsed,act_time,mean 100 episode reward,n_updates,qs_mean,qfs_loss,q_grad_norm
,,,,,,260000,,,122.14633967999998,2.5421851765692038e-12,375,10255,260,0.0003,1000.0,3.0644071761380176,15,3.0644071761380176,5175,16754,207,122.1,470200,13.527005,0.00352155,0.4804753
1000.0,2.7944641464209585,23,128.8,140.96495263636362,33.5451353169775,260001,13.569991,2.8046522,,,,,,,,,,,,,,,,,,
,,,,,,264000,,,125.04406908000001,2.423273369136531e-12,381,10445,264,0.0003,1000.0,3.530279114582765,15,3.530279114582765,5266,17070,210,125.0,478200,13.469893,0.0024292488,0.44925782
,,,,,,268000,,,126.19461795000001,2.6339000440450924e-12,386,10642,268,0.0003,1000.0,3.0423701044071447,15,3.0423701044071447,5354,17366,213,126.2,486200,14.270745,0.0032649147,0.5957873
1000.0,3.044039424598753,24,132.6,140.75371863636363,33.308096696183526,270001,13.821911,3.0529976,,,,,,,,,,,,,,,,,,
,,,,,,272000,,,127.39677201,2.5155571374495587e-12,392,10838,272,0.0003,1000.0,3.056289076200674,15,3.056289076200674,5443,17685,217,127.4,494200,14.106639,0.002574891,0.43259472
,,,,,,276000,,,128.9104942,2.5570609085817526e-12,398,11032,276,0.0003,1000.0,3.4106362524664067,15,3.4106362524664067,5530,17978,220,128.9,502200,13.682369,0.0026075945,0.4599359
,,,,,,280000,,,129.82188545,2.769021041369992e-12,403,11222,280,0.0003,1000.0,3.087680111913868,15,3.087680111913868,5619,18268,224,129.8,510200,13.605765,0.0024794685,0.43898705
1000.0,2.9247063751143183,24,135.8,140.69781,32.33999061976498,280001,13.792828,2.9327276,,,,,,,,,,,,,,,,,,
,,,,,,284000,,,130.59922437,2.5655338957686554e-12,409,11422,284,0.0003,1000.0,3.143672093732889,15,3.143672093732889,5710,18594,227,130.6,518200,13.680059,0.0022377863,0.41338944
