eval_discount_q,eval_qs_difference,total timesteps,eval_ep_rewmean,eval_qs,eval mean 100 episode reward,eval_time_elapsed,eval_abs_qs_difference,eval_eplenmean,discount_q,current_lr,n_updates,episodes,qs_abs_difference,eplenmean,fps,mean 100 episode reward,train_time,env_time,ep_rewmean,update_time,qs_difference,time_elapsed,qs_mean,act_time,q_grad_norm,qfs_loss
33.26166177869503,2.5672905148050202,340001,146.44160763636364,13.918548,145.2,23,2.5860276,1000.0,,,,,,,,,,,,,,,,,,
,,344000,,,,,,,2.5060212421056093e-12,0.0003,638200,344,2.7252658388916053,1000.0,14,142.5,7092,485,142.47155737999998,14199,2.7252658388916053,23013,14.02977,269,0.3682228,0.0015637599
,,348000,,,,,,,2.6403456524667447e-12,0.0003,646200,348,2.728236220398311,1000.0,14,142.6,7182,490,142.55483758,14398,2.728236220398311,23313,14.0042515,272,0.3922087,0.001342172
32.85680030293433,2.5340521957178233,350001,146.77236527272723,13.958465,145.7,22,2.545985,1000.0,,,,,,,,,,,,,,,,,,
,,352000,,,,,,,2.576055455620942e-12,0.0003,654200,352,2.7382146598998447,1000.0,14,142.8,7272,496,142.79482051000002,14597,2.7382146598998447,23634,14.120735,275,0.29253757,0.0011083622
,,356000,,,,,,,2.605923842491528e-12,0.0003,662200,356,2.797804768115955,1000.0,14,142.8,7361,501,142.7993713,14793,2.797804768115955,23930,13.833451,279,0.35423112,0.0012525353
,,360000,,,,,,,2.6548488845193232e-12,0.0003,670200,360,2.6615171159582083,1000.0,14,143.0,7451,507,142.96190041000003,14994,2.6615171159582083,24232,13.967964,282,0.26614165,0.0009601628
33.205727024953674,2.941848732646968,360001,141.2361842727273,13.778101,145.5,23,2.9613373,1000.0,,,,,,,,,,,,,,,,,,
,,364000,,,,,,,2.6714360696294357e-12,0.0003,678200,364,3.133275434604586,1000.0,14,143.1,7544,512,143.06771256000002,15194,3.133275434604586,24558,14.063783,285,0.3097749,0.0011971358
,,368000,,,,,,,2.6549978538718384e-12,0.0003,686200,368,2.800973567938951,1000.0,14,143.2,7633,518,143.17868621000002,15392,2.800973567938951,24855,13.90275,288,0.3134836,0.0012779947
33.024224592710645,2.583469801606316,370001,145.02369436363637,13.8164425,145.3,23,2.5994067,1000.0,,,,,,,,,,,,,,,,,,
,,372000,,,,,,,2.5829323718172254e-12,0.0003,694200,372,2.828481178409696,1000.0,14,143.3,7723,523,143.25049997,15591,2.828481178409696,25178,13.897783,292,0.41998887,0.0015221426
,,376000,,,,,,,2.44541663423425e-12,0.0003,702200,376,2.7032531774258923,1000.0,14,143.3,7811,529,143.30443671,15786,2.7032531774258923,25472,13.820935,295,0.31307244,0.001105798
,,380000,,,,,,,2.6977842735666752e-12,0.0003,710200,380,2.9120075039551314,1000.0,14,143.4,7900,535,143.40902308,15980,2.9120075039551314,25766,13.842446,298,0.26728445,0.0009446943
33.68168252341491,2.462610620340856,380001,146.5584357272727,13.783966,145.6,23,2.483938,1000.0,,,,,,,,,,,,,,,,,,
,,384000,,,,,,,2.5536598997413596e-12,0.0003,718200,384,2.7544558334274396,1000.0,14,143.5,7992,540,143.46863474,16177,2.7544558334274396,26089,13.740855,302,0.34516415,0.0012523894
,,388000,,,,,,,2.69872278848518e-12,0.0003,726200,388,3.13075479250527,1000.0,14,143.5,8078,546,143.48783649,16366,3.13075479250527,26376,13.932954,305,0.26562414,0.0009315664
33.339837218811745,2.3848737329075615,390001,146.70146390909093,13.754376,145.7,23,2.4064953,1000.0,,,,,,,,,,,,,,,,,,
,,392000,,,,,,,2.5700385944565084e-12,0.0003,734200,392,2.7226343724974926,1000.0,14,143.7,8166,551,143.68292436000002,16561,2.7226343724974926,26693,13.931795,308,0.3383446,0.0012592556
,,396000,,,,,,,2.5561091045330947e-12,0.0003,742200,396,2.772190106000673,1000.0,14,143.6,8257,557,143.57019351,16757,2.772190106000673,26991,13.804645,312,0.30098876,0.001046888
,,400000,,,,,,,2.5873164629114475e-12,0.0003,750200,400,2.724027242503439,1000.0,14,143.6,8347,563,143.63979951000002,16957,2.724027242503439,27290,13.981246,315,0.26176736,0.0009382318
33.212703997358076,2.4721109719404857,400001,146.05094454545454,13.789147,145.7,22,2.4851477,1000.0,,,,,,,,,,,,,,,,,,
