eval_qs_difference,eval_eplenmean,eval_ep_rewmean,eval_time_elapsed,total timesteps,eval_discount_q,eval_qs,eval_abs_qs_difference,eval mean 100 episode reward,current_lr,update_time,discount_q,fps,time_elapsed,episodes,qs_abs_difference,ep_rewmean,env_time,eplenmean,mean 100 episode reward,train_time,act_time,qs_difference,n_updates,qs_mean,qfs_loss,q_grad_norm
8.399162807704242,1000.0,32.005727818181825,23,150001,27.7455366241004,8.852927,8.399162,51.1,,,,,,,,,,,,,,,,,,
,,,,152000,,,,,0.0003,4933,2.413300747758665e-12,17,8527,152,3.3139344575212872,52.87134219000001,221,1000.0,52.9,2822,110,3.3139344575212872,254200,9.494184,0.0071435533,0.7547215
,,,,156000,,,,,0.0003,5133,2.3189148139516077e-12,17,8828,156,3.569610306478699,54.91193002000001,227,1000.0,54.9,2913,113,3.569610306478699,262200,10.049496,0.00465866,0.7219619
,,,,160000,,,,,0.0003,5328,2.5385967867671267e-12,17,9126,160,2.694629488357247,57.147482010000004,233,1000.0,57.1,3005,117,2.694629488357247,270200,10.005948,0.003998138,0.595862
2.2882181953612095,1000.0,104.89604863636363,22,160001,30.098056571947424,9.798116,2.2887843,57.1,,,,,,,,,,,,,,,,,,
,,,,164000,,,,,0.0003,5520,2.3248283945942715e-12,17,9441,164,2.0386545606189688,59.38501362000001,239,1000.0,59.4,3094,120,2.0386545606189688,278200,9.783095,0.006208466,0.7168685
,,,,168000,,,,,0.0003,5718,2.3639671942206034e-12,17,9741,168,3.4238538867506123,61.519306660000005,244,1000.0,61.5,3186,123,3.4238538867506123,286200,9.363426,0.0044643143,0.57144785
2.321099981429978,1000.0,107.49954345454545,23,170001,29.918261077254286,10.109147,2.3211002,63.7,,,,,,,,,,,,,,,,,,
,,,,172000,,,,,0.0003,5908,2.396422318116086e-12,17,10054,172,2.9200987306449586,63.82204642,250,1000.0,63.8,3274,127,2.9200987306449586,294200,10.144409,0.0054111467,0.62837094
,,,,176000,,,,,0.0003,6100,2.234259534141717e-12,17,10347,176,3.3763223816579053,66.07658352999998,256,1000.0,66.1,3364,130,3.3763223816579053,302200,11.145402,0.007091391,0.7607656
,,,,180000,,,,,0.0003,6287,2.3581689320701563e-12,16,10629,180,4.363038545514695,68.30401873,262,1000.0,68.3,3449,133,4.363038545514695,310200,11.60424,0.003868743,0.5456698
4.140875099884835,1000.0,105.83085227272727,24,180001,30.06124084927396,11.747897,4.1408753,70.1,,,,,,,,,,,,,,,,,,
,,,,184000,,,,,0.0003,6486,2.4419035904185573e-12,16,10954,184,4.442662879993888,70.64116537999999,268,1000.0,70.6,3540,137,4.442662879993888,318200,11.898188,0.0039720954,0.52042115
