eval_ep_rewmean,eval_qs,eval_abs_qs_difference,eval_eplenmean,eval_discount_q,total timesteps,eval mean 100 episode reward,eval_time_elapsed,eval_qs_difference,n_updates,current_lr,env_time,act_time,update_time,fps,episodes,time_elapsed,ep_rewmean,qs_abs_difference,eplenmean,qs_mean,discount_q,train_time,qs_difference,mean 100 episode reward,qfs_loss,q_grad_norm
,,,,,108000,,,,166200,0.0003,156,75,2847,20,108,5212,34.70529619,3.3395498951027522,1000.0,6.50101,2.264952681512114e-12,1822,3.3242834232014675,34.7,0.020732677,1.4267683
66.22040936363636,7.9577317,4.1694856,1000.0,28.617522871937002,110001,43.9,24,4.168826066886419,,,,,,,,,,,,,,,,,,
,,,,,112000,,,,174200,0.0003,161,78,3037,20,112,5523,38.24943847,3.3933221723556035,1000.0,8.8117075,2.2599342964944854e-12,1908,3.392341975859749,38.2,0.014898169,1.2683058
,,,,,116000,,,,182200,0.0003,167,81,3238,19,116,5824,41.812155520000005,8.379595970441741,1000.0,11.62561,2.378375324542165e-12,1998,8.379595970441741,41.8,0.016869647,1.070942
,,,,,120000,,,,190200,0.0003,173,85,3434,19,120,6119,45.21487821000001,4.419449077027956,1000.0,8.959213,2.4446018307841086e-12,2087,4.361106285763041,45.2,0.0136610735,1.0694163
128.42862354545454,12.043097,2.6712236,1000.0,31.680726664341076,120001,54.5,23,2.336625957185585,,,,,,,,,,,,,,,,,,
,,,,,124000,,,,198200,0.0003,178,88,3630,19,124,6440,50.05075231,1.590024049132428,1000.0,11.900216,2.479360918885577e-12,2176,1.590024049132428,50.1,0.011735673,0.91465163
,,,,,128000,,,,206200,0.0003,184,91,3819,19,128,6725,54.34105055,1.3701472374493144,1000.0,12.894631,2.4400829432621453e-12,2262,1.2855678045879586,54.3,0.011562509,1.0510428
124.77477854545455,10.72506,1.5490032,1000.0,32.08901702818333,130001,63.8,24,1.4243942554591265,,,,,,,,,,,,,,,,,,
,,,,,132000,,,,214200,0.0003,189,94,4012,18,132,7041,58.22006345,2.0224479120968164,1000.0,13.202314,2.468651733496547e-12,2350,2.0224479120968164,58.2,0.012571815,1.1077766
,,,,,136000,,,,222200,0.0003,195,98,4196,18,136,7326,62.37037414000001,2.1808461078161563,1000.0,14.012273,2.4931531280399905e-12,2440,2.1808461078161563,62.4,0.0106734475,1.0267285
,,,,,140000,,,,230200,0.0003,201,101,4394,18,140,7624,66.54683978999999,2.9091945403844113,1000.0,15.11292,2.613849773819486e-12,2529,2.9091945403844113,66.5,0.009697251,0.9830896
121.04534181818181,16.364738,6.867282,1000.0,26.159401170613727,140001,73.2,24,6.849984300720373,,,,,,,,,,,,,,,,,,
,,,,,144000,,,,238200,0.0003,206,105,4587,18,144,7940,71.42649030000001,2.985429218943957,1000.0,15.758828,2.476631375156331e-12,2617,2.985429218943957,71.4,0.011166526,1.136281
,,,,,148000,,,,246200,0.0003,212,108,4778,17,148,8229,76.44459699999999,3.9821299508704002,1000.0,16.860203,2.5929123093318254e-12,2704,3.9821299508704002,76.4,0.00814674,0.84976065
164.55171172727276,17.03601,3.7955396,1000.0,32.426742972467665,150001,86.8,24,3.791088177991385,,,,,,,,,,,,,,,,,,
,,,,,152000,,,,254200,0.0003,218,111,4974,17,152,8548,80.70131846,4.200096308568838,1000.0,17.147633,2.693309380596087e-12,2793,4.200096308568838,80.7,0.01043981,0.9695509
,,,,,156000,,,,262200,0.0003,224,115,5170,17,156,8843,85.01735749,4.573459675748343,1000.0,17.023521,2.5961208108876555e-12,2880,4.573459675748343,85.0,0.00859173,0.99820817
,,,,,160000,,,,270200,0.0003,229,118,5362,17,160,9131,89.71790023,4.566241162554161,1000.0,16.729116,2.521775284359836e-12,2966,4.566241162554161,89.7,0.007011099,0.8341448
145.8580560909091,16.49023,5.1836653,1000.0,33.02174700012829,160001,98.2,24,5.173577125802014,,,,,,,,,,,,,,,,,,
,,,,,164000,,,,278200,0.0003,235,122,5555,17,164,9446,94.25721381,4.57372638188457,1000.0,17.248152,2.4207879956003017e-12,3052,4.57372638188457,94.3,0.0063375295,0.8432525
,,,,,168000,,,,286200,0.0003,241,125,5749,17,168,9739,98.99807018000001,5.135158413777853,1000.0,17.273207,2.6301021081441564e-12,3140,5.135158413777853,99.0,0.0059283287,0.7326906
158.5211962727273,17.1888,4.6038303,1000.0,33.001499513854455,170001,110.0,24,4.603831014336479,,,,,,,,,,,,,,,,,,
,,,,,172000,,,,294200,0.0003,247,129,5943,17,172,10054,103.56836099000002,4.418776839143439,1000.0,17.329382,2.5652384138147434e-12,3226,4.418776839143439,103.6,0.0066524013,0.785446
,,,,,176000,,,,302200,0.0003,252,132,6135,17,176,10342,107.90497215,4.577661019050134,1000.0,17.508057,2.603697809197189e-12,3312,4.577661019050134,107.9,0.006496725,0.8657428
,,,,,180000,,,,310200,0.0003,258,135,6326,16,180,10633,112.47604279,4.483191892947569,1000.0,17.60945,2.7262171532090674e-12,3401,4.483191892947569,112.5,0.00531011,0.71719056
166.35800809090907,17.877953,4.460937,1000.0,32.51297595255431,180001,123.1,23,4.460937429540107,,,,,,,,,,,,,,,,,,
,,,,,184000,,,,318200,0.0003,263,139,6514,16,184,10945,117.08827122999999,4.785071533690934,1000.0,17.953169,2.6040826120242276e-12,3491,4.785071533690934,117.1,0.0059385626,0.75294423
,,,,,188000,,,,326200,0.0003,269,142,6710,16,188,11239,121.63799415000001,6.0663188807027915,1000.0,17.846958,2.6108767234028738e-12,3579,6.0663188807027915,121.6,0.0050729453,0.6955005
165.38935463636363,17.861288,4.596656,1000.0,33.07375545964839,190001,135.9,23,4.596655439872196,,,,,,,,,,,,,,,,,,
,,,,,192000,,,,334200,0.0003,275,145,6908,16,192,11560,126.07939830000001,4.7363718047088765,1000.0,17.68559,2.6766567733499033e-12,3667,4.7363718047088765,126.1,0.0043620663,0.6312513
,,,,,196000,,,,342200,0.0003,281,149,7102,16,196,11852,130.68649104000002,4.676785927703976,1000.0,17.64011,2.53367070212677e-12,3754,4.676785927703976,130.7,0.0054765856,0.7128994
,,,,,200000,,,,350200,0.0003,286,152,7298,16,200,12148,134.93032236000002,4.665637231012306,1000.0,17.372347,2.7460271776923523e-12,3843,4.665637231012306,134.9,0.0055454494,0.7144091
152.2180007272727,17.129372,5.174236,1000.0,32.996626228976815,200001,145.8,23,5.1742361825652905,,,,,,,,,,,,,,,,,,
,,,,,204000,,,,358200,0.0003,292,156,7495,16,204,12468,139.16337536,6.4109627540773415,1000.0,17.42346,2.7109673058112364e-12,3932,6.4109627540773415,139.2,0.0058301156,0.7815863
,,,,,208000,,,,366200,0.0003,298,159,7692,16,208,12765,143.13815056,4.686051027769747,1000.0,17.163242,2.6713271475177316e-12,4020,4.686051027769747,143.1,0.0046497337,0.68601984
158.44045018181816,17.428125,4.906938,1000.0,33.564222155359225,210001,149.9,22,4.906938186651517,,,,,,,,,,,,,,,,,,
,,,,,212000,,,,374200,0.0003,303,162,7892,16,212,13088,145.94471054999997,4.7157325967089525,1000.0,17.351805,2.6482984001799524e-12,4110,4.7157325967089525,145.9,0.003776828,0.58242863
,,,,,216000,,,,382200,0.0003,309,166,8089,16,216,13383,148.43667391,4.76159828646745,1000.0,17.038115,2.696266370394359e-12,4197,4.76159828646745,148.4,0.0032956586,0.5622233
,,,,,220000,,,,390200,0.0003,315,169,8287,16,220,13683,151.12026759,5.387917362263279,1000.0,17.204992,2.646698874733489e-12,4288,5.387917362263279,151.1,0.0037702213,0.5844057
82.73955245454546,24.862785,18.20356,1000.0,16.310423018694298,220001,145.7,22,18.20356058387089,,,,,,,,,,,,,,,,,,
